,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
0,LHX,2019-05-06,16.0,178.5,178.5,4.077417992095757,174.42258200790425,174.42258200790425,190.73225397628727,190.73225397628727,buy,
1,CME,2019-05-06,12.0,178.14999389648438,178.14999389648438,2.660527198327576,175.4894666981568,175.4894666981568,186.1315754914671,186.1315754914671,buy,
2,KMX,2019-05-07,32.0,77.68000030517578,77.68000030517578,1.3457624605567748,76.33423784461901,76.33423784461901,81.7172876868461,81.7172876868461,buy,
3,CBOE,2019-05-08,12.0,102.62999725341797,102.62999725341797,1.408206868731418,101.22179038468656,101.22179038468656,106.85461785961222,106.85461785961222,buy,
4,EXR,2019-05-09,6.0,103.79000091552734,103.79000091552734,2.08326864199606,101.70673227353129,101.70673227353129,110.03980684151553,110.03980684151553,buy,
5,LEN,2019-05-10,6.0,51.86000061035156,51.86000061035156,0.7250962290060196,51.13490438134554,51.13490438134554,54.03528929736962,54.03528929736962,buy,
6,HSY,2019-05-13,1.0,127.06999969482422,127.06999969482422,1.9863157957801996,125.08368389904402,125.08368389904402,133.02894708216482,133.02894708216482,buy,
7,KMX,2019-05-07,32.0,77.68000030517578,76.76000213623047,1.3457624605567748,76.33423784461901,77.65859703260115,81.7172876868461,83.30420768149344,sell,2019-05-13
8,AWK,2019-05-16,5.0,111.16999816894531,111.16999816894531,1.7792279597801006,109.39077020916521,109.39077020916521,116.50768204828562,116.50768204828562,buy,
9,LEN,2019-05-10,6.0,51.86000061035156,51.810001373291016,0.7250962290060196,51.13490438134554,52.7674887162366,54.03528929736962,56.33753324093863,sell,2019-05-20
10,SJM,2019-05-21,4.0,126.69000244140625,126.69000244140625,1.7832516862908598,124.9067507551154,124.9067507551154,132.03975750027882,132.03975750027882,buy,
11,AEP,2019-05-22,1.0,87.29000091552734,87.29000091552734,1.3249336805580367,85.96506723496931,85.96506723496931,91.26480195720146,91.26480195720146,buy,
12,CBOE,2019-05-08,12.0,102.62999725341797,105.5,1.408206868731418,101.22179038468656,106.0591668982906,106.85461785961222,112.9825029672376,sell,2019-05-28
13,EXR,2019-05-09,6.0,103.79000091552734,105.30000305175781,2.08326864199606,101.70673227353129,105.49152060224624,110.03980684151553,114.00544917958939,sell,2019-05-28
14,HSY,2019-05-13,1.0,127.06999969482422,128.3000030517578,1.9863157957801996,125.08368389904402,129.7400185784787,133.02894708216482,136.53995403018894,sell,2019-05-28
15,SJM,2019-05-21,4.0,126.69000244140625,123.68000030517578,1.7832516862908598,124.9067507551154,125.50055054510297,132.03975750027882,132.6183434818786,sell,2019-05-28
16,AEP,2019-05-22,1.0,87.29000091552734,86.66999816894531,1.3249336805580367,85.96506723496931,87.00538936743835,91.26480195720146,92.1438355597943,sell,2019-05-28
17,CBOE,2019-05-29,7.0,107.2699966430664,107.2699966430664,2.062685806065393,105.20731083700102,105.20731083700102,113.45805406126259,113.45805406126259,buy,
18,AWK,2019-05-16,5.0,111.16999816894531,111.77999877929688,1.7792279597801006,109.39077020916521,112.0808126024712,116.50768204828562,118.51757195821142,sell,2019-05-29
